strategy,family,generator,selector,selection_space,candidate_budget,deployable,tuned_on_dev,split,n_states,mean_true,true_ci_low,true_ci_high,mean_success,success_ci_low,success_ci_high,mean_selected_step,baseline,delta_true_vs_baseline,delta_true_ci_low,delta_true_ci_high,delta_success_vs_baseline,delta_success_ci_low,delta_success_ci_high
pd_d192_k3_eval:population_elite:score_by_pd_d192_k10_eval,elite_verification,pd_d192_k3_eval,pd_d192_k10_eval,recorded_generator_elites,30,True,False,test,25,136.1194833626288,60.98367122993846,230.08905012389508,0.44,0.24,0.64,29.0,pd_d192_k3_eval:returned:final,0.6807189941302363,-1.16983901132566,2.622687838624003,-0.04,-0.12,0.0
pd_d192_k3_eval:population_all:all_rank_consensus,population_verification,pd_d192_k3_eval,all_rank_consensus,all_recorded_populations,900,True,False,test,25,137.50528605032153,60.78089054002175,233.29484401790899,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,2.0665216818229117,-1.0391161113690903,5.761867718225835,0.0,-0.12,0.12
pd_d192_k3_eval:population_elite:all_rank_consensus,elite_verification,pd_d192_k3_eval,all_rank_consensus,recorded_generator_elites,90,True,False,test,25,137.7665502304355,60.90500543439864,233.67645751211208,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,2.3277858619369196,-0.8360934307799116,6.043613595390256,0.0,-0.12,0.12
pd_d192_k3_eval:population_all:nonself_rank_consensus,population_verification,pd_d192_k3_eval,nonself_rank_consensus,all_recorded_populations,600,True,False,test,25,140.0608141703694,62.58648767092518,237.07548201567081,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,4.622049801870808,0.5736972299178335,9.250492238285842,0.0,-0.12,0.12
pd_d192_k3_eval:population_elite:nonself_rank_consensus,elite_verification,pd_d192_k3_eval,nonself_rank_consensus,recorded_generator_elites,60,True,False,test,25,137.61071924139284,60.941139765626104,233.25162319938642,0.52,0.32,0.72,29.0,pd_d192_k3_eval:returned:final,2.1719548728942426,-0.9569888040584867,5.561411351793912,0.04,-0.08,0.2
portfolio:returned:score_by_pd_d192_k3_eval,multi_proposer_portfolio,all,pd_d192_k3_eval,all_returned_means,1,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:score_by_iter2_multistep_eval,multi_proposer_portfolio,all,iter2_multistep_eval,all_returned_means,1,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:score_by_pd_d192_k10_eval,multi_proposer_portfolio,all,pd_d192_k10_eval,all_returned_means,1,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:rank_consensus,multi_proposer_portfolio,all,all_rank_consensus,all_returned_means,3,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:oracle,oracle_ceiling,all,true_simulator_cost,all_returned_means,1,False,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
