shift,k,plan_h,mid,subgoal,lam,init,expert_rank,top1_vs_ideal,regret
id,0,3,1,disc2048,0.25,drift,93.5250015258789,0.725,0.011340554803609848
id,0,3,1,disc2048,0.5,true,71.36666870117188,0.45,0.048275336623191833
id,0,3,1,disc2048,0.5,drift,71.36666870117188,0.45,0.048275336623191833
id,0,3,1,disc2048,0.75,true,50.400001525878906,0.275,0.09147918224334717
id,0,3,1,disc2048,0.75,drift,50.400001525878906,0.275,0.09147918224334717
id,0,5,2,none,0.0,true,66.9000015258789,1.0,0.0
id,0,5,2,none,0.0,drift,66.9000015258789,1.0,0.0
id,0,5,2,oracle,0.25,true,39.275001525878906,0.65,0.020362546667456627
id,0,5,2,oracle,0.25,drift,39.275001525878906,0.65,0.020362546667456627
id,0,5,2,oracle,0.5,true,18.40833282470703,0.44166666666666665,0.07211490720510483
id,0,5,2,oracle,0.5,drift,18.40833282470703,0.44166666666666665,0.07211490720510483
id,0,5,2,oracle,0.75,true,5.866666793823242,0.3333333333333333,0.13421520590782166
id,0,5,2,oracle,0.75,drift,5.866666793823242,0.3333333333333333,0.13421520590782166
id,0,5,2,disc2048,0.25,true,43.86666488647461,0.6666666666666666,0.017309878021478653
id,0,5,2,disc2048,0.25,drift,43.86666488647461,0.6666666666666666,0.017309878021478653
id,0,5,2,disc2048,0.5,true,28.575000762939453,0.425,0.07825970649719238
id,0,5,2,disc2048,0.5,drift,28.575000762939453,0.425,0.07825970649719238
id,0,5,2,disc2048,0.75,true,23.266666412353516,0.31666666666666665,0.13502144813537598
id,0,5,2,disc2048,0.75,drift,23.266666412353516,0.31666666666666665,0.13502144813537598
id,5,2,1,none,0.0,true,39.67499923706055,1.0,0.0
id,5,2,1,none,0.0,drift,51.983333587646484,0.5583333333333333,0.08947351574897766
id,5,2,1,oracle,0.25,true,30.41666603088379,0.8083333333333333,0.009360957890748978
id,5,2,1,oracle,0.25,drift,45.224998474121094,0.5166666666666667,0.08990045636892319
id,5,2,1,oracle,0.5,true,20.15833282470703,0.5833333333333334,0.040111150592565536
id,5,2,1,oracle,0.5,drift,35.44166564941406,0.4166666666666667,0.10842487961053848
id,5,2,1,oracle,0.75,true,7.433333396911621,0.38333333333333336,0.09979419410228729
id,5,2,1,oracle,0.75,drift,25.149999618530273,0.30833333333333335,0.1605103313922882
id,5,2,1,disc2048,0.25,true,34.56666564941406,0.7583333333333333,0.011700653471052647
id,5,2,1,disc2048,0.25,drift,47.31666564941406,0.5166666666666667,0.09102706611156464
id,5,2,1,disc2048,0.5,true,28.225000381469727,0.5833333333333334,0.04381436109542847
id,5,2,1,disc2048,0.5,drift,42.06666564941406,0.39166666666666666,0.1174502819776535
id,5,2,1,disc2048,0.75,true,21.366666793823242,0.4,0.10539833456277847
id,5,2,1,disc2048,0.75,drift,39.650001525878906,0.275,0.18612535297870636
id,5,3,1,none,0.0,true,26.899999618530273,1.0,0.0
id,5,3,1,none,0.0,drift,38.44166564941406,0.5166666666666667,0.13526327908039093
