analysis,shift,k,param,method,value,baseline,raw_mse
off_manifold,visual,10,160,energy_capture,0.9957495331764221,0.9997656345367432,0.6556552648544312
off_manifold,visual,10,192,energy_capture,1.0,1.0,0.6556552648544312
projection_recovery,visual,10,2,pca_denoise,0.4405488967895508,0.6556552648544312,
projection_recovery,visual,10,5,pca_denoise,0.4428505599498749,0.6556552648544312,
projection_recovery,visual,10,10,pca_denoise,0.4433896243572235,0.6556552648544312,
projection_recovery,visual,10,20,pca_denoise,0.4558567404747009,0.6556552648544312,
projection_recovery,visual,10,30,pca_denoise,0.47938868403434753,0.6556552648544312,
projection_recovery,visual,10,50,pca_denoise,0.5123322606086731,0.6556552648544312,
projection_recovery,visual,10,80,pca_denoise,0.6302651762962341,0.6556552648544312,
projection_recovery,visual,10,120,pca_denoise,0.6547797918319702,0.6556552648544312,
projection_recovery,visual,10,160,pca_denoise,0.6554937958717346,0.6556552648544312,
projection_recovery,visual,10,192,pca_denoise,0.6556552648544312,0.6556552648544312,
projection_recovery,visual,10,1,knn_snap,0.9869076609611511,0.6556552648544312,
projection_recovery,visual,10,0.25,knn_soft,0.6338027715682983,0.6556552648544312,
projection_recovery,visual,10,0.5,knn_soft,0.6550078392028809,0.6556552648544312,
projection_recovery,visual,10,0.75,knn_soft,0.7192703485488892,0.6556552648544312,
projection_recovery,visual,10,1.0,knn_soft,0.826590359210968,0.6556552648544312,
